id,type,subtype2,subtype1,player1,player2,team,lon,lat,elapsed,elapsed_plus,game_id
542530,goal,shot,n,41073,24171,8659,NA,NA,90,4,1857
543288,goal,NA,o,26066,NA,8667,NA,NA,88,NA,1858
549758,goal,header,n,30865,27430,10260,NA,NA,45,2,1859
549874,goal,volley,n,30829,32569,10260,NA,NA,63,NA,1859
550023,goal,volley,n,27430,30893,10260,NA,NA,87,NA,1859
547484,goal,shot,n,36410,30843,9825,NA,NA,84,NA,1860
546485,goal,header,n,24658,23782,10252,NA,NA,19,NA,1861
546546,goal,NA,o,36373,NA,8659,NA,NA,41,NA,1861
546584,goal,deflected,n,24171,32570,8659,NA,NA,49,NA,1861
546859,goal,header,n,39618,24846,8668,NA,NA,18,NA,1862
547095,goal,direct_freekick,n,24011,NA,8668,NA,NA,45,1,1862
547093,goal,shot,n,35608,30892,8549,NA,NA,45,NA,1863
547447,goal,shot,n,30988,43279,8472,NA,NA,82,NA,1863
546862,goal,distance,n,30619,37475,10261,NA,NA,19,NA,1864
546952,goal,shot,n,33781,24223,8654,NA,NA,29,NA,1864
547205,goal,shot,n,34543,26348,8654,NA,NA,55,NA,1864
547423,goal,header,n,47382,34574,10261,NA,NA,78,NA,1864
609028,goal,shot,n,30956,30338,9879,NA,NA,2,NA,1865
609896,goal,shot,n,23927,19020,8655,NA,NA,69,NA,1865
610021,goal,shot,n,34176,23916,8655,NA,NA,85,NA,1865
579660,goal,shot,n,34036,NA,8462,NA,NA,70,NA,1866
579675,goal,header,n,23953,34601,8462,NA,NA,75,NA,1866
547766,goal,header,dg,40695,NA,10194,NA,NA,31,NA,1867
549272,goal,header,n,111865,24890,8528,NA,NA,90,1,1868
556659,goal,distance,n,30618,37920,8650,NA,NA,68,NA,1869
556684,goal,header,n,30876,24011,8668,NA,NA,87,NA,1869
552166,goal,header,n,24408,30954,8472,NA,NA,11,NA,1870
552905,goal,header,n,38807,23354,10252,NA,NA,60,NA,1870
553193,goal,NA,p,23782,NA,10252,NA,NA,80,NA,1870
555594,goal,shot,n,23190,63520,8462,NA,NA,59,NA,1871
555650,goal,shot,n,30348,31097,8586,NA,NA,70,NA,1871
554500,goal,shot,n,27665,NA,8654,NA,NA,7,NA,1872
554532,goal,distance,n,24781,30338,9879,NA,NA,22,NA,1872
554784,goal,shot,dg,27665,NA,8654,NA,NA,50,NA,1872
554852,goal,NA,p,37169,NA,8654,NA,NA,60,NA,1872
554920,goal,shot,n,34543,27665,8654,NA,NA,76,NA,1872
552780,goal,distance,n,30509,NA,8456,NA,NA,53,NA,1873
552880,goal,NA,p,34947,NA,8655,NA,NA,61,NA,1874
552964,goal,shot,n,34176,23916,8655,NA,NA,66,NA,1874
553254,goal,shot,n,34176,23916,8655,NA,NA,86,NA,1874
553297,goal,header,n,27430,38817,10260,NA,NA,90,NA,1875
552046,goal,deflected,n,23257,NA,8659,NA,NA,4,NA,1876
552842,goal,deflected,n,40055,26494,8659,NA,NA,54,NA,1876
553033,goal,shot,n,40055,23257,8659,NA,NA,67,NA,1876
553538,goal,header,n,30960,30843,9825,NA,NA,29,NA,1877
553705,goal,header,n,26143,32577,8667,NA,NA,65,NA,1877
553778,goal,shot,n,26181,30843,9825,NA,NA,82,NA,1877
553798,goal,shot,n,36410,30843,9825,NA,NA,86,NA,1877
552931,goal,shot,n,25668,24001,10194,NA,NA,60,NA,1878
553325,goal,header,n,30456,49825,8455,NA,NA,88,NA,1878
553385,goal,distance,n,30631,NA,8455,NA,NA,90,4,1878
563086,goal,loose_ball,n,30988,33418,8472,NA,NA,55,NA,1879
562692,goal,shot,n,30895,30348,8586,NA,NA,8,NA,1880
562801,goal,shot,n,30348,40755,8586,NA,NA,21,NA,1880
562828,goal,header,n,24531,31097,8586,NA,NA,25,NA,1880
563200,goal,shot,n,24001,24773,10194,NA,NA,57,NA,1880
564268,goal,saved_back_into_play,npm,37169,NA,8654,NA,NA,22,NA,1881
564432,goal,shot,n,27665,34543,8654,NA,NA,33,NA,1881
